date,asset,usd,inr
2023-11-14,btc,35537.64,3036505.0
2023-11-13,btc,36502.36,3086677.5
2023-11-12,btc,37054.52,3093386.0
2023-11-11,btc,37138.05,3108039.0
2023-11-10,btc,37313.97,3057173.5
2023-11-09,btc,36693.13,2967194.5
2023-11-08,btc,35655.28,2950072.0
2023-11-07,btc,35443.56,2915916.25
2023-11-06,btc,35037.37,2914689.25
2023-11-05,btc,35049.36,2917391.5
2023-11-04,btc,35082.2,2888296.5
2023-11-03,btc,34732.32,2908174.25
2023-11-02,btc,34938.24,2950284.25
2023-11-01,btc,35437.25,2887054.5
2023-10-31,btc,34667.78,2872237.5
2023-10-30,btc,34502.36,2880921.25
2023-10-29,btc,34538.48,2843634.75
2023-10-28,btc,34089.57,2828638.5
2023-10-27,btc,33909.8,2844666.5
2023-10-26,btc,34156.65,2868973.5
2023-10-25,btc,34502.82,2814389.5
2023-10-24,btc,33901.53,2747135.0
2023-10-23,btc,33086.23,2494294.0
2023-10-22,btc,29993.9,2490781.0
2023-10-21,btc,29918.41,2471178.25
2023-10-20,btc,29682.95,2387263.5
2023-10-19,btc,28719.81,2358854.25
2023-10-18,btc,28328.34,2365723.0
2023-10-17,btc,28415.75,2372727.0
2023-10-16,btc,28519.47,2261925.25
2023-10-15,btc,27159.65,2237030.75
2023-10-14,btc,26861.71,2237086.5
2023-10-13,btc,26862.38,2227842.25
2023-10-12,btc,26756.8,2234504.5
2023-10-11,btc,26873.32,2280317.25
2023-10-10,btc,27391.02,2296908.25
2023-10-09,btc,27583.68,2322100.25
2023-10-08,btc,27935.09,2324769.75
2023-10-07,btc,27968.84,2322496.25
2023-10-06,btc,27946.6,2281726.25
2023-10-05,btc,27415.91,2314439.75
2023-10-04,btc,27799.39,2282929.75
2023-10-03,btc,27429.98,2294995.25
2023-10-02,btc,27530.79,2323632.25
2023-10-01,btc,27983.75,2243125.25
2023-09-30,btc,26967.92,2238451.0
2023-09-29,btc,26911.72,2248206.0
2023-09-28,btc,27021.55,2193498.75
2023-09-27,btc,26352.72,2183893.0
2023-09-26,btc,26217.25,2183551.0
2023-09-25,btc,26298.48,2178661.5
